model,benchmark,category,template,count,denominator,percentage
DeepSeek-Prover-V2-7B,FATE-H,Unsolved goals,unsolved goals,586,3914,14.971896
DeepSeek-Prover-V2-7B,FATE-H,Unresolved name,unknown constant 'ID',501,3914,12.800204
DeepSeek-Prover-V2-7B,FATE-H,Missing instance,failed to synthesize instance of type class,415,3914,10.602964
DeepSeek-Prover-V2-7B,FATE-H,Unresolved name,unknown identifier 'ID',356,3914,9.095554
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,tactic 'ID' made no progress,261,3914,6.668370
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,type mismatch,252,3914,6.438426
DeepSeek-Prover-V2-7B,FATE-H,Resource exhaustion,"(deterministic) timeout at 'ID', maximum number of heartbeats (NUM) has been reached",206,3914,5.263158
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,"tactic 'ID' failed, nested error",152,3914,3.883495
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,application type mismatch: The argument,149,3914,3.806847
DeepSeek-Prover-V2-7B,FATE-H,Unresolved name,"invalid field 'ID', the environment does not contain 'ID'",122,3914,3.117016
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,"type mismatch: After simplification, term",75,3914,1.916198
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,no goals to be solved,64,3914,1.635156
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,function expected at 'ID',58,3914,1.481860
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,omega could not prove the goal:,54,3914,1.379663
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,"tactic 'ID' failed, did not find the pattern in the target expression",53,3914,1.354113
DeepSeek-Prover-V2-7B,FATE-H,Missing instance,failed to synthesize,49,3914,1.251916
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,"tactic 'ID' failed, could not unify the conclusion of 'ID'",42,3914,1.073071
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,"tactic 'ID' failed, the left-hand side does not match the right-hand side",42,3914,1.073071
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,"tactic 'ID' failed, insufficient number of binders",28,3914,0.715381
